transaction_id,montant_eur,region,y_true,y_proba
TX1000,112.99,B,0,0.024
TX1001,67.59,A,0,0.261
TX1002,71.35,B,0,0.122
TX1003,135.05,A,0,0.134
TX1004,230.54,A,0,0.305
TX1005,91.99,A,0,0.244
TX1006,157.02,A,0,0.123
TX1007,277.46,B,0,0.136
TX1008,190.28,B,0,0.038
TX1009,288.01,A,1,0.601
TX1010,66.41,A,0,0.058
TX1011,276.72,B,0,0.173
TX1012,50.96,B,0,0.178
TX1013,144.42,A,0,0.098
TX1014,173.21,B,0,0.007
TX1015,184.07,B,0,0.22
TX1016,126.9,B,0,0.151
TX1017,221.95,A,0,0.126
TX1018,124.04,B,0,0.015
TX1019,70.59,A,0,0.046
TX1020,110.43,B,0,0.374
TX1021,191.71,B,0,0.176
TX1022,55.19,B,0,0.421
TX1023,112.94,B,0,0.142
TX1024,89.57,B,0,0.191
TX1025,100.17,B,0,0.201
TX1026,109.48,A,0,0.317
TX1027,84.89,B,0,0.18
TX1028,244.25,B,0,0.136
TX1029,44.93,B,0,0.344
TX1030,153.06,A,0,0.184
TX1031,140.98,A,0,0.055
TX1032,187.16,B,0,0.011
TX1033,400.21,A,0,0.305
TX1034,94.92,A,0,0.115
TX1035,56.1,A,0,0.126
TX1036,141.83,B,0,0.1
TX1037,218.72,B,0,0.083
TX1038,55.5,B,0,0.179
TX1039,154.34,A,0,0.077
TX1040,137.94,B,0,0.093
TX1041,127.46,A,0,0.235
TX1042,115.15,A,0,0.071
TX1043,366.84,A,0,0.23
TX1044,140.77,B,0,0.329
TX1045,110.62,A,0,0.579
TX1046,103.42,B,0,0.072
TX1047,147.41,A,0,0.142
TX1048,37.96,A,0,0.05
TX1049,183.93,A,0,0.107
TX1050,299.19,A,0,0.07
TX1051,217.73,A,0,0.351
TX1052,170.52,A,0,0.13
TX1053,120.47,A,0,0.21
TX1054,69.15,B,0,0.03
TX1055,81.41,B,0,0.067
TX1056,74.4,B,0,0.122
TX1057,71.87,A,0,0.16
TX1058,66.35,A,0,0.137
TX1059,485.09,A,0,0.104
TX1060,68.09,A,0,0.054
TX1061,296.46,A,0,0.167
TX1062,115.55,B,0,0.311
TX1063,164.05,A,0,0.147
TX1064,31.67,A,0,0.119
TX1065,328.05,B,0,0.092
TX1066,29.46,A,0,0.224
TX1067,154.87,A,0,0.221
TX1068,671.73,A,1,0.815
TX1069,59.86,A,0,0.146
TX1070,193.58,B,0,0.014
TX1071,159.6,A,0,0.078
TX1072,216.75,B,0,0.081
TX1073,137.88,B,0,0.049
TX1074,1013.58,A,1,0.688
TX1075,102.42,B,0,0.094
TX1076,17.23,A,0,0.035
TX1077,195.33,A,0,0.024
TX1078,93.99,B,0,0.136
TX1079,74.0,A,0,0.031
TX1080,201.96,A,0,0.143
TX1081,264.42,B,0,0.093
TX1082,100.29,B,0,0.143
TX1083,1084.8,B,1,0.358
TX1084,144.72,A,0,0.164
TX1085,89.41,B,0,0.043
TX1086,23.6,B,0,0.045
TX1087,99.78,A,0,0.087
TX1088,55.65,A,0,0.318
TX1089,109.95,B,0,0.006
TX1090,140.44,A,0,0.301
TX1091,133.45,B,0,0.06
TX1092,168.11,B,0,0.281
TX1093,192.76,B,0,0.252
TX1094,108.85,B,0,0.109
TX1095,47.72,B,0,0.034
TX1096,60.98,B,0,0.028
TX1097,85.8,B,0,0.146
TX1098,111.49,B,0,0.106
TX1099,65.85,B,0,0.029
TX1100,93.33,B,0,0.117
TX1101,83.4,A,0,0.036
TX1102,99.72,A,0,0.071
TX1103,129.83,A,0,0.168
TX1104,126.78,B,0,0.023
TX1105,122.27,A,0,0.059
TX1106,110.62,B,0,0.105
TX1107,98.72,A,0,0.234
TX1108,143.78,B,0,0.152
TX1109,31.64,B,0,0.047
TX1110,297.13,B,0,0.11
TX1111,36.99,A,0,0.151
TX1112,74.51,B,0,0.049
TX1113,49.52,B,0,0.114
TX1114,144.58,A,0,0.232
TX1115,97.5,B,0,0.069
TX1116,173.75,A,0,0.276
TX1117,193.1,B,0,0.268
TX1118,104.29,A,0,0.064
TX1119,140.23,B,0,0.068
TX1120,78.06,A,0,0.274
TX1121,505.69,A,1,0.645
TX1122,216.38,A,0,0.031
TX1123,296.95,B,0,0.033
TX1124,62.13,A,0,0.374
TX1125,44.39,A,0,0.017
TX1126,126.85,B,0,0.02
TX1127,41.39,A,0,0.136
TX1128,96.53,A,0,0.289
TX1129,191.86,B,0,0.173
TX1130,58.63,B,0,0.2
TX1131,265.1,B,0,0.446
TX1132,182.11,B,0,0.053
TX1133,263.86,B,0,0.145
TX1134,57.81,A,0,0.051
TX1135,727.56,B,1,0.441
TX1136,171.49,A,0,0.068
TX1137,158.85,B,0,0.208
TX1138,119.62,B,0,0.187
TX1139,778.8,A,1,0.711
TX1140,58.85,A,0,0.04
TX1141,109.0,A,0,0.051
TX1142,115.88,B,0,0.395
TX1143,150.44,A,0,0.079
TX1144,75.31,B,0,0.026
TX1145,354.21,A,0,0.287
TX1146,146.56,A,0,0.074
TX1147,310.47,B,1,0.336
TX1148,168.87,A,0,0.09
